Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SIAV;SP0464;Helipark;Carapicuíba;SP;23 33 53S;046 49 49W;-23.5647;-46.8303;VFR;PRIV;2018-07-19Z
SDYA;SP0449;Carmo Couri;São Paulo;SP; 23 35 46S; 046 41 14W;-23.5961;-46.6872;VFR DIURNA;PRIV;2023-07-06Z
SDPL;SP0403;Ibirapuera Park Hotel Ltda;São Paulo;SP;23 35 34S;046 38 58W;-23.5928;-46.6494;VFR;PRIV;2018-07-19Z
SDKT;SP0375;Edifício Dacon;São Paulo;SP;23 34 50S;046 41 02W;-23.5806;-46.6839;VFR;PRIV;2018-07-19Z
SITK;SP0553;Jomarca;Guarulhos;SP;23 28 02S;046 29 09W;-23.4672;-46.4858;VFR DIURNA;PRIV;2018-07-19Z
SNLR;SP0713;Itautec;São Paulo;SP; 23 31 53S; 046 34 20W;-23.5314;-46.5722;VFR;PRIV;2021-06-17Z
SJWZ;SP0676;E-Tower;São Paulo;SP;23 35 38S;046 41 25W;-23.5939;-46.6903;VFR;PRIV;2018-07-19Z
SD6Q;SP1110;Parque da Cidade Torre B2;São Paulo;SP; 23 37 30S; 046 42 15W;-23.625;-46.7042;VFR;PRIV;2021-03-18Z
SIBS;SP0470;E-Business Bosque;São Paulo;SP;23 30 43S;046 42 37W;-23.5119;-46.7103;VFR;PRIV;2018-07-19Z
SNIA;SP0706;Arujá;Arujá;SP;23 23 39S;046 21 16W;-23.3942;-46.3544;VFR DIURNA;PRIV;2018-07-19Z
SNSQ;SP0730;Centro Empresarial Nações Unidas-Torre Norte;São Paulo;SP;23 36 37S;046 41 47W;-23.6103;-46.6964;VFR;PRIV;2018-07-19Z
SDPO;SP0405;Plaza Centenário;São Paulo;SP; 23 36 19S; 046 41 45W;-23.6053;-46.6958;VFR DIURNA;PRIV;2023-12-21Z
SNAZ;SP0690;Amazônia;Barueri;SP;23 29 34S;046 50 59W;-23.4928;-46.8497;VFR;PRIV;2018-07-19Z
SWKM;SP0815;Castelo Branco Office Park - Torre II;Barueri;SP;23 30 19S;046 50 15W;-23.5053;-46.8375;VFR;PRIV;2018-07-19Z
SIJF;SP0511;Edifício Faria Lima Financial Center;São Paulo;SP;23 35 10S;046 41 00W;-23.5861;-46.6833;VFR;PRIV;2018-07-19Z
